date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:49	37/37	---M--	200	added ('OK')	text/plain	etag:%2225-545b15798cc3c%22	http://sii.im/robots.txt		(from )
15:58:49	3225/3225	---M-Z	200	added ('OK')	text/html	etag:%22c99-548a7daa1708b-gzip%22	http://sii.im/	C:/My%20Web%20Sites/personal/sii.im/index.html	(from )
15:58:50	3495/3495	---M--	200	added ('OK')	image/png	etag:%22da7-542e944013b7e%22	http://sii.im/static/img/favicon/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/apple-touch-icon-57x57.png	(from http://sii.im/)
15:58:50	10568/10568	---M--	200	added ('OK')	image/png	etag:%222948-542e943f04425%22	http://sii.im/static/img/favicon/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/apple-touch-icon-114x114.png	(from http://sii.im/)
15:58:50	4955/4955	---M--	200	added ('OK')	image/png	etag:%22135b-542e944068687%22	http://sii.im/static/img/favicon/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/apple-touch-icon-72x72.png	(from http://sii.im/)
15:58:51	3703/3703	---M--	200	added ('OK')	image/png	etag:%22e77-542e94405cbc2%22	http://sii.im/static/img/favicon/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/apple-touch-icon-60x60.png	(from http://sii.im/)
15:58:51	15196/15196	---M--	200	added ('OK')	image/png	etag:%223b5c-542e943f8bbc2%22	http://sii.im/static/img/favicon/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/apple-touch-icon-144x144.png	(from http://sii.im/)
15:58:52	5489/5489	---M--	200	added ('OK')	image/png	etag:%221571-542e9440bb019%22	http://sii.im/static/img/favicon/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/apple-touch-icon-76x76.png	(from http://sii.im/)
15:58:52	11457/11457	---M--	200	added ('OK')	image/png	etag:%222cc1-542e943f91de8%22	http://sii.im/static/img/favicon/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/apple-touch-icon-120x120.png	(from http://sii.im/)
15:58:53	1204/1204	---M--	200	added ('OK')	image/png	etag:%224b4-542e9441b7d85%22	http://sii.im/static/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/favicon-32x32.png	(from http://sii.im/)
15:58:53	593/593	---M--	200	added ('OK')	image/png	etag:%22251-542e94415b2b1%22	http://sii.im/static/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/favicon-16x16.png	(from http://sii.im/)
15:58:53	7195/7195	---M--	200	added ('OK')	image/png	etag:%221c1b-542e9441c3ed2%22	http://sii.im/static/img/favicon/favicon-96x96.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/favicon-96x96.png	(from http://sii.im/)
15:58:53	29846/29846	---M-Z	200	added ('OK')	text/css	etag:%227496-542ec208fc2d6-gzip%22	http://sii.im/static/compiled/main.css	C:/My%20Web%20Sites/personal/sii.im/static/compiled/main.css	(from http://sii.im/)
15:58:54	17375/17375	---M--	200	added ('OK')	image/png	etag:%2243df-542e944008b2b%22	http://sii.im/static/img/favicon/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/apple-touch-icon-152x152.png	(from http://sii.im/)
15:58:54	5987/5987	---M--	200	added ('OK')	image/png	etag:%221763-542e9440c7122%22	http://sii.im/static/img/favicon/favicon-128.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/favicon-128.png	(from http://sii.im/)
15:58:54	17991/17991	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2023%20Oct%202017%2019:58:55%20GMT	https://use.typekit.net/tpf1oyu.js	C:/My%20Web%20Sites/personal/use.typekit.net/tpf1oyu.js	(from http://sii.im/)
15:58:55	27561/27561	---M--	200	added ('OK')	image/png	etag:%226ba9-542e944167711%22	http://sii.im/static/img/favicon/favicon-196x196.png	C:/My%20Web%20Sites/personal/sii.im/static/img/favicon/favicon-196x196.png	(from http://sii.im/)
15:58:58	34566/34566	---MC-	200	added ('OK')	text/javascript	date:Thu,%2028%20Sep%202017%2022:31:34%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/personal/www.google-analytics.com/analytics.js	(from http://sii.im/)
15:58:59	233837/233837	---MCZ	200	added ('OK')	application/javascript	etag:%223916d-54f3b99bcc672-gzip%22	http://sii.im/static/app.76ffc0580e956d35db82.js	C:/My%20Web%20Sites/personal/sii.im/static/app.76ffc0580e956d35db82.js	(from http://sii.im/)
